"gene"	"entrez"	"ensembl"
"NBAS"	51594	"ENSG00000151779"
"NCAPD2"	9918	"ENSG00000010292"
"NCAPG"	64151	"ENSG00000109805"
"NCAPH"	23397	"ENSG00000121152"
"NCBP1"	4686	"ENSG00000136937"
"NCBP2"	22916	"ENSG00000114503"
"NCL"	4691	"ENSG00000115053"
"NDC80"	10403	"ENSG00000080986"
"NDUFAB1"	4706	"ENSG00000004779"
"NDUFB4"	4710	"ENSG00000065518"
"NEDD1"	121441	"ENSG00000139350"
"NELFA"	7469	"ENSG00000185049"
"NELFB"	25920	"ENSG00000188986"
"NELFE"	7936	"ENSG00000204356"
"NFS1"	9054	"ENSG00000244005"
"NGDN"	25983	"ENSG00000129460"
"NHLRC2"	374354	"ENSG00000196865"
"NHP2"	55651	"ENSG00000145912"
"NIP7"	51388	"ENSG00000132603"
"NIPBL"	25836	"ENSG00000164190"
"NKAP"	79576	"ENSG00000101882"
"NLE1"	54475	"ENSG00000073536"
"NOB1"	28987	"ENSG00000141101"
"NOC3L"	64318	"ENSG00000173145"
"NOC4L"	79050	"ENSG00000184967"
"NOL10"	79954	"ENSG00000115761"
"NOL11"	25926	"ENSG00000130935"
"NOL6"	65083	"ENSG00000165271"
"NOL7"	51406	"ENSG00000225921"
"NOL8"	55035	"ENSG00000198000"
"NOL9"	79707	"ENSG00000162408"
"NOLC1"	9221	"ENSG00000166197"
"NOM1"	64434	"ENSG00000146909"
"NONO"	4841	"ENSG00000147140"
"NOP10"	55505	"ENSG00000182117"
"NOP14"	8602	"ENSG00000087269"
"NOP16"	51491	"ENSG00000048162"
"NOP2"	4839	"ENSG00000111641"
"NOP56"	10528	"ENSG00000101361"
"NOP58"	51602	"ENSG00000055044"
"NOP9"	161424	"ENSG00000196943"
"NOPCHAP1"	121053	"ENSG00000151131"
"NPAT"	4863	"ENSG00000149308"
"NPLOC4"	55666	"ENSG00000182446"
"NRDE2"	55051	"ENSG00000119720"
"NRF1"	4899	"ENSG00000106459"
"NSA2"	10412	"ENSG00000164346"
"NSF"	4905	"ENSG00000073969"
"NSL1"	25936	"ENSG00000117697"
"NSMCE1"	197370	"ENSG00000169189"
"NSMCE4A"	54780	"ENSG00000107672"
"NSRP1"	84081	"ENSG00000126653"
"NSUN4"	387338	"ENSG00000117481"
"NUBP1"	4682	"ENSG00000103274"
"NUDC"	10726	"ENSG00000090273"
"NUDCD3"	23386	"ENSG00000015676"
"NUDT21"	11051	"ENSG00000167005"
